date,yt_pred_mlp_8,yt_true,yt_pred_d1d13_ar13,yt_pred_stacked_mlp,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy
1946-01-01,,890,,,1095.0249999999992,1444.1986161805073,1197.389238901429
1946-02-01,,992,,,1077.3934210526309,1417.7272045877276,1182.2558001361897
1946-03-01,,979,,,1214.0776315789465,1545.5715803337537,1321.1474334396944
1946-04-01,,959,,,1322.1302631578938,1644.7843762768762,1431.1167703908923
1946-05-01,,1110,,,1385.0249999999992,1698.8392767431899,1495.637495200308
1946-06-01,,1546,,,1539.4986842105254,1844.473122881762,1651.4464499732067
1946-07-01,,1539,,,1929.709210526315,2225.843808421344,2042.7015294464295
1946-08-01,,3401,,,3034.4986842105254,3321.7934352765697,3148.244838883134
1946-09-01,,2092,,,2284.709210526315,2563.1641266766196,2398.9184835464775
1946-10-01,,1436,,,1815.6565789473675,2085.2716571629962,1930.0382529101462
1946-11-01,,1301,,,1636.130263157894,1896.9055003584456,1750.3936206583494
1946-12-01,,1287,,,1397.6039473684202,1649.5393429107253,1511.4582710016127
1947-01-01,,1488,,,1220.8175438596481,1464.4041988594968,1362.532522178092
1947-02-01,1260.8287581197692,1517,,1205.909176660877,1203.1859649122798,1438.9149915567698,1344.9249807775216
1947-03-01,1360.020366506708,1707,,1282.3323781895367,1339.8701754385957,1567.7415715928482,1481.374813379577
1947-04-01,1434.9276830258302,1729,,1273.4332926946747,1447.922807017543,1667.9365718260235,1588.9346515632083
1947-05-01,1488.1159796137486,1788,,1335.6017470015531,1510.8175438596481,1722.9736765823898,1651.0781795389391
1947-06-01,1665.9033804755445,2008,,1497.3697155066282,1665.2912280701746,1869.5897270110145,1804.542239412035
1947-07-01,1959.1560238786856,2203,,1863.9579449148573,2055.501754385964,2251.9426168406494,2193.4847259193375
1947-08-01,2746.777458137373,3713,,2894.159199623361,3160.291228070175,3348.874447985927,3296.747744324003
1947-09-01,2630.703128844553,2946,,2863.775341039616,2410.501754385964,2591.22734367603,2545.1733998891905
1947-10-01,2093.597527732729,2082,,2029.6152359782648,1941.4491228070167,2114.317078452459,2074.077482088585
1947-11-01,1741.766661419351,2033,,1480.9424720209242,1761.9228070175432,1926.933125937961,1892.249464606396
1947-12-01,1677.8859347553466,1937,,1537.4542162262408,1523.3964912280694,1680.5491727802935,1651.1630316531493
1948-01-01,1753.5357886832237,1711,,1652.011730324965,1346.6100877192973,1496.3962330191175,1500.118501467001
1948-02-01,1739.437567935572,1775,,1669.0553566037763,1328.978508771929,1471.889230006443,1480.4244806376846
1948-03-01,1888.1827194795085,1902,1972.255844928933,1883.153469313907,1465.6627192982446,1601.698014332574,1614.8201357448766
1948-04-01,1983.316236258442,1846,1965.2077776186552,1939.414730605253,1573.7153508771921,1702.8752188558021,1720.3580983675258
1948-05-01,1983.9057651298167,2083,2015.5355067383657,1892.824074311288,1636.6100877192973,1758.894527902221,1780.5120527161575
1948-06-01,2158.2066304630985,2262,2424.4744858631075,2084.893448401104,1791.0837719298238,1906.4927826208982,1932.0188408960362
1948-07-01,2554.7160044305524,2193,2359.073541826468,2533.9061811109777,2181.2942982456134,2289.8278767405855,2319.036357644003
1948-08-01,3127.638201003202,3792,3968.045416737956,3224.9487829434297,3286.083771929824,3387.7419121759162,3420.406708223216
1948-09-01,3252.58707489919,2343,2808.073884261493,3492.979939566472,2536.2942982456134,2631.0770121560718,2666.9719978968324
1948-10-01,2329.5981921141965,2313,1778.0672838479368,2224.2772761725173,2067.241666666666,2155.148951222553,2194.0480161385376
1948-11-01,2212.224623916176,2179,2014.340903926257,2132.686406582887,1887.7153508771921,1968.7472029981077,2010.424236632542
1948-12-01,2040.1687921261075,1975,2064.639740338307,2016.6512439869573,1649.1890350877184,1723.3454541304927,1767.5743435893705
1949-01-01,1933.9856433428845,1880,1946.737616686484,1838.435630667749,1472.4026315789465,1540.1747186593693,1614.7986552471796
1949-02-01,1924.142354971164,1930,1920.0382763384189,1896.2684076311275,1454.7710526315782,1516.6499199367477,1593.405778195703
1949-03-01,2053.185689511821,2060,1982.7815379669228,2049.0046827920323,1591.4552631578938,1647.4409085529314,1726.1348790146167
1949-04-01,2121.5484272168123,1843,2044.2205330800784,2077.0926070099376,1699.507894736841,1749.6003173662118,1830.0385892828697
1949-05-01,2138.687668806007,2052,2085.3814693783934,2074.2585815882435,1762.4026315789465,1806.6018307026832,1888.5905932109872
1949-06-01,2266.962148436801,2039,2220.651094997744,2213.790710950875,1916.8763157894728,1955.1822897114132,2038.5277329042337
1949-07-01,2466.5137574813493,2351,2249.044692701502,2433.3403924149284,2307.0868421052623,2339.499588121153,2424.007903099451
1949-08-01,3112.6185945619177,3394,3762.607581117477,3251.918120124103,3411.8763157894728,3438.395827846536,3523.873209059796
1949-09-01,2846.6459543004894,3581,2548.4353384914266,3016.640934569317,2662.0868421052623,2682.7131321167444,2768.9657560484266
1949-10-01,2984.594223440351,2489,2640.605934145344,3097.2310394574847,2193.034210526315,2207.7672754732785,2294.6013335390285
1949-11-01,2447.210598083738,2468,2469.6987478975752,2336.367524001348,2013.5078947368413,2022.3477315388857,2109.569415215811
1949-12-01,2239.320614258432,2134,2226.1934964846605,2176.2384981414425,1774.9815789473676,1777.9281869613233,1865.3436852893008
1950-01-01,2070.482450931117,1903,2046.4588016074365,1995.8158248486684,1598.1951754385955,1595.7396557802526,1711.2244619976525
1950-02-01,2033.956729961612,1719,1992.470344726052,1989.7650353954853,1580.5635964912271,1573.1970613476833,1688.5203519306006
1950-03-01,2029.406107196108,1617,2074.5844593709207,2031.442356261684,1717.247807017543,1704.9702542539198,1819.9705216678212
1950-04-01,1992.4547221399064,1818,1683.141804259445,1940.655237709299,1825.3004385964903,1808.1118673572528,1922.6276027882634
1950-05-01,2110.0116713746493,2067,1980.5450024229017,2077.57383774458,1888.1951754385955,1866.0955849837767,1979.9652795024522
1950-06-01,2224.1421048950897,2457,2195.699723519924,2178.556972238539,2042.668859649122,2015.6582482825593,2128.720393915652
1950-07-01,2698.725168540336,2600,2317.670010183856,2700.567643135246,2432.8793859649113,2400.957750982352,2513.050840764705
1950-08-01,3306.456967995082,3530,3950.114521213785,3381.338698258829,3537.668859649122,3500.836194997788,3611.7987253127676
1950-09-01,3577.912782447563,2693,2955.789534250798,3732.599047539772,2787.8793859649113,2746.1357035580486,2855.806152822998
1950-10-01,2725.543317076077,2448,2185.362043995555,2701.1937008081404,2318.8267543859643,2272.172051204635,2380.388912769081
1950-11-01,2495.2768998701727,2250,2356.6332822085787,2469.363887306733,2139.3004385964905,2087.734711560295,2194.336478835228
1950-12-01,2192.076661085717,1972,2083.927275864969,2177.622693083816,1900.7741228070167,1844.297371272785,1949.1225352319632
1951-01-01,2002.6536193907416,1682,1834.4339849892567,1950.7759584536243,1723.9877192982447,1663.091044381767,1794.047400197443
1951-02-01,1840.204670666564,1730,1632.1512663734024,1781.490203186395,1706.3561403508763,1641.5306542392505,1770.4196803214018
1951-03-01,1878.897587188282,1814,1650.0431531642243,1831.821727308375,1843.040350877192,1774.2860514355393,1900.9785421835143
1951-04-01,2021.3924378814413,1900,1735.5211881898458,1963.8622641446311,1951.0929824561395,1878.409868828925,2002.7766173627313
1951-05-01,2188.512920383572,2051,2059.432309280204,2144.152572075086,2013.9877192982447,1937.3757907455017,2059.2875900695763
1951-06-01,2435.181010205792,2290,2243.0639720915115,2411.998725209679,2168.461403508771,2087.9206583343366,2207.248302409315
1951-07-01,2744.4341156470264,2599,2505.690404479523,2769.095977941108,2558.6719298245607,2474.202365324182,2590.8166491187885
1951-08-01,3174.0527430359903,3428,3447.2218188010147,3294.6471602967904,3663.461403508771,3575.0630136296704,3688.834735461154
1951-09-01,3072.884291689687,2262,3216.806776688809,3229.347003890202,2913.6719298245607,2821.3447264799834,2932.1446666995694
1951-10-01,2483.550921091401,2242,2018.596594080968,2411.6696728695106,2444.619298245613,2348.363278416623,2456.06223230772
1951-11-01,2264.6624653623826,2103,1945.350122515054,2225.98641153426,2265.0929824561395,2164.9081430623355,2269.3769059698157
1951-12-01,2022.9634877172048,1825,1810.473888536565,1997.8971869980007,2026.5666666666657,1922.4530070648782,2023.562371896383
1952-01-01,1861.170430536143,1670,1564.454436928192,1764.938496807096,1849.7802631578938,1742.2288844639127,1867.918948325576
1952-02-01,1841.209893817581,1681,1574.520393196577,1792.8236390046284,1832.1486842105255,1721.6506986114487,1843.75524184713
1952-03-01,1931.9919983673324,1713,1586.8698042319584,1891.206649475683,1968.8328947368411,1855.3883000977903,1973.8104190407207
1952-04-01,1986.95592812284,1954,1792.4934808245737,1919.1028244791253,2076.8855263157884,1960.4943217812286,2075.1371114852973
1952-05-01,2135.943013850513,1876,2064.0757810885334,2108.3941124616204,2139.780263157894,2020.4424479878578,2131.209003391384
1952-06-01,2269.715557738094,2272,2292.972049805392,2207.809387753809,2294.25394736842,2171.9695198667455,2278.762936864247
1952-07-01,2684.39435850522,2612,2496.1662001117747,2733.690019122272,2684.4644736842097,2559.2334311466434,2661.956806640726
1952-08-01,3034.7348630131014,3590,3402.31706455876,3180.8044930512906,3789.25394736842,3661.0762837421844,3759.6327179839805
1952-09-01,2886.170529707978,2496,2527.949162726716,3044.397889503308,3039.4644736842097,2908.34020088255,3002.6327761571656
1952-10-01,2457.412065039796,2441,2391.274556499628,2393.704362023376,2570.4118421052626,2436.340957109242,2526.2727706339692
1952-11-01,2268.8184241257363,2340,2195.558485689039,2220.647157778896,2390.885526315789,2253.8680260450074,2339.342175098599
1952-12-01,2050.985174066736,2090,2020.759905111632,2018.297938560817,2152.359210526315,2012.3950943376026,2093.3146737615825
1953-01-01,1941.240382367185,1812,1841.8684165104205,1864.1554159885343,1975.5728070175428,1833.1531760266896,1937.4905848610747
1953-02-01,1874.6076359552203,1788,1852.2640728521565,1816.670486556124,1957.9412280701745,1813.5571944642784,1913.1785149868097
1953-03-01,1953.9523878268487,1837,1915.4649992257189,1912.3950347339176,2094.6254385964903,1948.2770002406724,2043.1176307184635
1953-04-01,2052.159336276747,1993,2021.0194374229973,2005.7203847073908,2202.678070175438,2054.365226214163,2144.360563634985
1953-05-01,2106.013694969407,2021,2065.683179986679,2054.827335105386,2265.572807017543,2115.295556710845,2200.3809979468992
1953-06-01,2347.070659818836,2199,2381.239722657476,2295.8721430325736,2420.0464912280695,2267.8048328797854,2347.915775759471
1953-07-01,2725.7064562485552,2622,2609.9441725559764,2744.808213166378,2810.2570175438586,2656.050948449736,2731.122791809542
1953-08-01,3177.812773310017,3787,3529.749554751544,3314.0497805719783,3915.0464912280695,3758.8760053353294,3828.84415136027
1953-09-01,3138.628777513312,2914,2554.2235968120904,3318.8876987075228,3165.2570175438586,3007.122126765748,3071.9219596748108
1953-10-01,2807.7356996866624,2487,2726.686745161452,2800.5059736954604,2696.204385964911,2536.1050872824926,2595.672006226852
1953-11-01,2485.07049089587,2314,2482.9406570020947,2428.4612879268493,2516.678070175438,2354.6143605083103,2408.883764700602
1953-12-01,2199.950082345504,2139,2056.640816530725,2166.38538760484,2278.151754385964,2114.1236330909583,2163.0309193065877
1954-01-01,2028.901301617407,2124,1891.643382800355,1971.421418556528,2101.365350877192,1935.8639190700978,2007.413788282964
1954-02-01,2033.03707997002,2214,2047.092538308435,2026.191054555268,2083.733771929824,1917.2501417977392,1983.3409782194651
1954-03-01,2174.3806753770696,2234,2188.910692110557,2188.8486152580667,2220.4179824561393,2052.952151864186,2113.551655695767
1954-04-01,2286.803059071249,2279,2397.59239757924,2266.3896934127656,2328.470614035087,2160.0225821277295,2215.0984522908193
1954-05-01,2315.1422867203974,2423,2251.754149424397,2265.4111071001294,2391.365350877192,2221.935116914464,2271.4550522151458
1954-06-01,2499.836850700852,2290,2605.205970226212,2447.165039108652,2545.8390350877185,2375.4265973734564,2419.358297574013
1954-07-01,2829.595004982435,2903,2862.1593079036884,2804.061520873572,2936.049561403508,2764.65491723346,2802.96608310426
1954-08-01,3470.152845207705,4485,3981.396229431487,3597.9199930266386,4040.8390350877185,3868.462178409106,3901.1205140690467
1954-09-01,3673.9962981629214,3085,3287.061570222675,3872.9269081491966,3291.049561403508,3117.6905041295768,3144.6636957315295
1954-10-01,2987.9649928185554,2852,2942.9117598776284,2943.684387109551,2821.9969298245605,2647.6556689363742,2668.911417565393
1954-11-01,2676.099494107129,2629,2725.3903657133005,2617.409691671752,2642.4706140350872,2467.147146452244,2482.653153254849
1954-12-01,2443.885240448425,2435,2468.03760941908,2406.714500256828,2403.944298245613,2227.638623324945,2237.3625870104215
1955-01-01,2363.956025364919,2227,2317.5283871793417,2329.934162620477,2227.157894736841,2050.3611135941374,2082.3400370702666
